20 22
1	11	802	802	805	11	805	805	805	805	805	11	802	803	803	803	803	803	803	803	803	804
11	2	802	802	805	11	805	805	9	805	805	11	802	803	803	803	803	803	803	803	803	804
11	11	3	802	805	6	805	805	805	805	805	11	802	803	803	803	803	803	803	803	803	804
11	11	802	4	805	11	805	805	805	805	805	11	802	803	803	803	803	803	803	803	803	804
5	11	802	802	805	11	805	805	805	805	805	11	802	803	803	803	803	803	803	803	803	804
11	11	802	802	805	11	7	805	805	805	805	11	802	803	803	803	803	803	803	803	803	804
11	11	802	802	805	11	805	8	805	805	805	11	802	803	803	803	803	803	803	803	803	804
11	11	802	802	805	11	805	805	805	10	805	11	802	803	803	803	803	803	803	803	803	804
11	11	802	802	805	11	805	805	805	805	805	11	802	803	803	803	803	803	803	803	803	804
801	12	802	802	805	12	805	805	805	805	805	12	802	803	803	803	803	803	803	803	803	804
11	11	802	802	805	11	805	805	805	805	805	11	802	14	15	16	803	18	19	20	803	804
501	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
502	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
503	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
504	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	508
505	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
506	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
801	802	802	802	100	802	805	802	802	802	200	802	300	803	803	803	17	803	803	803	400	804
21	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
600	300	802	802	100	802	805	802	802	802	200	802	300	803	803	803	803	803	803	803	400	804
